dates,region,driving,walking,transit,date
2020-04-11,Berlin,46.55,44.67,22.44,2020-04-11
2020-04-12,Berlin,45.58,52.02,22.81,2020-04-12
2020-04-13,Berlin,45.94,34.1,23.55,2020-04-13
2020-04-14,Berlin,57.87,39.0,28.44,2020-04-14
2020-04-15,Berlin,59.18,42.74,28.85,2020-04-15
2020-04-16,Berlin,62.32,48.81,30.67,2020-04-16
2020-04-17,Berlin,59.52,48.22,28.88,2020-04-17
2020-04-18,Berlin,54.9,54.9,28.23,2020-04-18
2020-04-19,Berlin,57.02,51.28,29.19,2020-04-19
2020-04-20,Berlin,63.24,46.46,32.29,2020-04-20
2020-04-21,Berlin,66.42,47.87,30.87,2020-04-21
2020-04-22,Berlin,68.16,51.26,32.97,2020-04-22
2020-04-23,Berlin,70.84,54.12,33.58,2020-04-23
2020-04-24,Berlin,64.87,49.04,31.23,2020-04-24
2020-04-25,Berlin,56.7,48.86,29.66,2020-04-25
2020-04-26,Berlin,61.7,53.03,31.62,2020-04-26
2020-04-27,Berlin,71.57,53.29,34.74,2020-04-27
2020-04-28,Berlin,70.4,50.52,33.3,2020-04-28
2020-04-29,Berlin,68.64,43.57,32.49,2020-04-29
2020-04-30,Berlin,68.5,44.65,32.82,2020-04-30
2020-05-01,Berlin,58.36,50.61,33.42,2020-05-01
2020-05-02,Berlin,56.94,42.61,32.48,2020-05-02
2020-05-03,Berlin,63.03,50.12,35.49,2020-05-03
2020-05-04,Berlin,72.07,46.65,39.31,2020-05-04
2020-05-05,Berlin,73.32,47.84,38.98,2020-05-05
2020-05-06,Berlin,76.81,56.1,39.99,2020-05-06
2020-05-07,Berlin,76.73,54.65,40.31,2020-05-07
2020-05-08,Berlin,73.87,64.85,41.59,2020-05-08
2020-05-09,Berlin,74.45,70.92,42.68,2020-05-09
2020-05-10,Berlin,74.77,50.67,38.82,2020-05-10
2020-05-11,Berlin,,,,2020-05-11
2020-05-12,Berlin,,,,2020-05-12
2020-05-13,Berlin,80.57,53.7,44.67,2020-05-13
2020-05-14,Berlin,86.61,55.6,46.09,2020-05-14
2020-01-13,Hamburg,100.0,100.0,100.0,2020-01-13
2020-01-14,Hamburg,101.73,101.55,98.86,2020-01-14
2020-01-15,Hamburg,102.87,110.08,99.74,2020-01-15
2020-01-16,Hamburg,106.65,116.16,102.18,2020-01-16
2020-01-17,Hamburg,112.44,139.82,115.69,2020-01-17
2020-01-18,Hamburg,105.27,154.48,123.12,2020-01-18
2020-01-19,Hamburg,99.15,103.66,103.5,2020-01-19
2020-01-20,Hamburg,100.28,102.7,103.82,2020-01-20
2020-01-21,Hamburg,104.6,105.08,101.58,2020-01-21
2020-01-22,Hamburg,105.72,109.64,105.36,2020-01-22
2020-01-23,Hamburg,104.64,114.81,105.38,2020-01-23
